id,user_id,applicant_id,doc_type,interaction_type,element,timestamp
47,2,9,PS,enter,individual_view,1694062463643
48,2,9,PS,click,comment,1694062479727
49,2,9,Resume,click,PDFTab,1694062493260
50,2,9,Resume,click,comment,1694062518391
51,2,9,Resume,click,comment,1694062518877
52,2,9,Resume,click,comment,1694062537659
53,2,9,Resume,click,comment,1694062538093
54,2,9,Resume,click,comment,1694062538722
55,2,9,Resume,click,comment,1694062545112
56,2,9,Resume,click,comment,1694062545796
57,2,9,LOR1,click,PDFTab,1694062551986
58,2,9,Transcripts,click,PDFTab,1694062555691
59,2,9,Transcripts,click,comment,1694062588298
60,2,9,LOR2,click,PDFTab,1694062598646
61,2,9,LOR1,click,PDFTab,1694062620143
62,2,9,Resume,click,PDFTab,1694062631201
63,2,9,PS,click,PDFTab,1694062631751
64,2,9,PS,click,comment,1694062647732
65,2,9,PS,click,rating,1694062658079
66,2,9,,leave,individual_view,1694062660610
67,2,8,PS,enter,individual_view,1694062664963
68,2,8,Transcripts,click,PDFTab,1694062672991
69,2,8,Transcripts,change_PDF_page,PDF,1694062675690
70,2,8,Transcripts,change_PDF_page,PDF,1694062678122
71,2,8,PS,click,PDFTab,1694062693775
72,2,8,Resume,click,PDFTab,1694062694473
73,2,8,LOR1,click,PDFTab,1694062701730
74,2,8,PS,click,PDFTab,1694062705548
75,2,8,PS,click,rating,1694062707920
76,2,8,PS,click,rating,1694062712186
77,2,9,PS,enter,individual_view,1694062717855
78,2,9,PS,click,rating,1694062723800
79,2,9,PS,click,rating,1694062727113
80,2,8,PS,enter,individual_view,1694062728726
81,2,4,PS,enter,individual_view,1694062731831
82,2,4,Transcripts,click,PDFTab,1694062735267
83,2,4,LOR2,click,PDFTab,1694062753680
84,2,4,Resume,click,PDFTab,1694062754502
85,2,4,PS,click,PDFTab,1694062764569
86,2,4,PS,click,rating,1694062766279
87,2,4,PS,click,rating,1694062775336
88,2,5,PS,enter,individual_view,1694062777331
89,2,5,Transcripts,click,PDFTab,1694062786187
90,2,5,LOR2,click,PDFTab,1694062802178
91,2,5,LOR1,click,PDFTab,1694062806577
92,2,5,LOR2,click,PDFTab,1694062814649
93,2,5,Resume,click,PDFTab,1694062818394
94,2,5,LOR2,click,PDFTab,1694062820564
95,2,5,Resume,click,PDFTab,1694062824827
96,2,5,Resume,click,rating,1694062850099
97,2,12,PS,enter,individual_view,1694062858733
98,2,12,Resume,click,PDFTab,1694062870422
99,2,12,LOR1,click,PDFTab,1694062879683
100,2,12,LOR1,click,rating,1694062894470
101,2,10,PS,enter,individual_view,1694062896157
102,2,10,Resume,click,PDFTab,1694062900363
103,2,10,Transcripts,click,PDFTab,1694062907560
104,2,10,Transcripts,click,rating,1694062917705
105,2,10,Transcripts,click,rating,1694062922858
106,2,1,PS,enter,individual_view,1694062927310
107,2,1,Resume,click,PDFTab,1694062935988
108,2,1,LOR1,click,PDFTab,1694062946018
109,2,1,LOR2,click,PDFTab,1694062954839
110,2,1,PS,click,PDFTab,1694062962739
111,2,1,PS,click,rating,1694062978182
112,2,11,PS,enter,individual_view,1694062980042
113,2,11,Transcripts,click,PDFTab,1694062983975
114,2,11,Transcripts,click,profile,1694062987159
115,2,1,PS,enter,individual_view,1694062990916
116,2,1,PS,click,rating,1694063000007
117,2,11,PS,enter,individual_view,1694063001613
118,2,11,Resume,click,PDFTab,1694063008012
119,2,11,LOR1,click,PDFTab,1694063015859
120,2,11,LOR2,click,PDFTab,1694063017014
121,2,11,Transcripts,click,PDFTab,1694063018294
122,2,11,Transcripts,click,rating,1694063025167
123,2,11,Transcripts,click,rating,1694063028648
124,2,11,Transcripts,click,rating,1694063031389
125,2,7,PS,enter,individual_view,1694063035893
126,2,7,Resume,click,PDFTab,1694063041825
127,2,7,Resume,click,PDF,1694063044435
128,2,7,LOR1,click,PDFTab,1694063049178
